case_id,status,case_received,employer,address,city,state,zipcode,worksite,phone,job_title,crop,workers,base_pay
H-300-17250-837887,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-07T00:00:00Z,"RC Packing, LLC",26769 El Camino Real North,Gonzalez,CA,93926,"Yuma, AZ 85364",831-675-0308,Farmworker,Lettuce,260,10.95
H-300-17249-354807,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-11T00:00:00Z,"The Growers Company, Inc.",P.O. Box 3170,Somerton,AZ,85350,"Yuma, AZ 85364",928-627-8080,General Farmworkers,Lettuce,440,10.95
H-300-17254-459556,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-11T00:00:00Z,Argo-Cargo LLC,17614 S Ave 1 1/2 E,Yuma,AZ,85365,"Yuma, AZ 85364",928-344-2892,Farmworker,Lettuce,70,10.95
H-300-17261-764320,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-19T00:00:00Z,"SERVICIOS AGRICOLAS MEX, INC.","15368 W. Westview Dr.,",Goodyear,AZ,85395,"Scottsdale, AZ 85256",623-374-1167,General Farmworkers,Broccoli,120,10.95
H-300-17258-170455,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-15T00:00:00Z,"FRESH HARVEST, INC.","Headquarters: 101 E. MAIN STREET, HEBER CA 92249",Somerton,AZ,85352,"Yuma, AZ 85365",760-352-5212,Vegetable Harvest Workers,Romaine Lettuce,795,10.95
H-300-17254-617116,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-14T00:00:00Z,ELKHORN PACKING CO. LLC,"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901",Yuma,AZ,85365,"Roll, AZ 85347",831-676-3833,Field Workers,Spinach,563,10.95
H-300-17251-382116,DETERMINATION ISSUED - PARTIAL CERTIFICATION EXPIRED,2017-09-14T00:00:00Z,ELKHORN PACKING CO. LLC,"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901",Yuma,AZ,85365,"Somerton, AZ 85350",831-676-3833,Field Workers (Mix Romaine and Romaine Hearts),Romaine Lettuce,286,12.5
H-300-17258-194499,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-18T00:00:00Z,"Servicios Agricolas Mex, Inc.",15368 W. Westview Dr.,Goodyear,AZ,85395,"El Mirage, AZ 85335",623-374-1167,General Farmworkers,General Farm Workers,52,10.95
H-300-17262-337572,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-25T00:00:00Z,JR CUSTOM HARVESTING COMPANY INC.,"HEADQUARTERS:20300 SPENCE RD, SALINAS, CA 93908",YUMA,AZ,85365,"Yuma, AZ 85365",831-775-0370,Field Workers (Iceberg and Romaine Lettuce),Romaine Lettuce,120,11.2
H-300-17229-016837,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-08-19T00:00:00Z,"Kenly Farms, Inc.",5333 N 7th Street,Phoenix,AZ,85014,"Maricopa, AZ 85139",602-955-0222,General Farmworker,Flowers,48,11
H-300-17265-194742,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-26T00:00:00Z,"The Growers Company, Inc.",P.O. Box 3170,Somerton,AZ,85350,"Yuma, AZ 85365",928-627-8080,General Farmworkers,Lettuce,130,10.95
H-300-17263-602672,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-20T00:00:00Z,"FOOTHILL PACKING, INC.",1582 MOFFETT STREET SUITE G,SALINAS,CA,93905,"San Luis, AZ 85350",831-784-1453,Field Workers,Romaine Lettuce,601,10.95
H-300-17262-408029,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-28T00:00:00Z,"FOOTHILL PACKING, INC.","AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365",SALINAS,CA,93905,"Somerton, AZ 85350",831-784-1453,Field Worker (Harvest),Kale,205,10.95
H-300-17262-222225,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-10-03T00:00:00Z,VALLEY PRIDE INC.,"Corporate: 10735-B OCEAN MIST PARKWAY, CASTROVILLE, CA 95012",Yuma,AZ,85364,"Yuma, AZ 85364",831-633-5883,Field Worker (Head Lettuce Harvest),Lettuce,170,10.95
H-300-17262-501496,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-25T00:00:00Z,ZION HARVEST INC.,"HEADQUARTERS: 20300 Spence Road, Salinas, CA 93908",YUMA,AZ,85365,"Wellton, AZ 85356",831-751-9784,Field Workers (Iceberg Lettuce),Iceberg Lettuce,35,11.2
H-300-17258-442421,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-20T00:00:00Z,"FOOTHILL PACKING, INC.","AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365",SALINAS,CA,93905,"Yuma, AZ 85365",831-784-1453,Field Worker (Harvest),Cabbage,60,10.95
H-300-17254-384186,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-09-11T00:00:00Z,PGM Packing Inc.,1450 S Atlantic Ave,Yuma,AZ,85365,"Welton, AZ 85356",928-329-7548,Farmworker,Broccoli,100,10.95
H-300-17268-510022,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-10-13T00:00:00Z,D and J PACKING LLC,"HEADQUARTERS: 1588 MOFFETT ST., STE. B, SALINAS, CA 93905",YUMA,AZ,85365,"Yuma, AZ 85364",831-449-2494,Field Worker (Broccoli Harvest),Broccoli,28,10.95
H-300-17290-690046,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-11-03T00:00:00Z,ELKHORN PACKING CO. LLC,"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901",Yuma,AZ,85365,"Somerton, AZ 85350",831-676-3833,Field Workers,Celery,85,10.95
H-300-17293-861456,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-10-24T00:00:00Z,"A. Oseguera Company, Inc.",1099 Rogge Road,Salinas,CA,93906,"Yuma, AZ 85365",831-443-4155,Farm Worker; Crop,Cabbage,489,10.95
H-300-17297-664472,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-11-03T00:00:00Z,"RANCHO NUEVO HARVESTING, INC.","HEADQUARTERS: 1429 S. BLOSSER, SANTA MARIA, CA 93458",SANTA MARIA,CA,93454,"Yuma, AZ 85364",805-347-1370,Field Worker (Celery Harvester Organic & Conventio,Celery,60,10.95
H-300-17296-087592,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-11-17T00:00:00Z,ELKHORN PACKING CO. LLC,"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901",Yuma,AZ,85365,"Roll, AZ 85347",831-676-3833,Field Workers,Celery,60,10.95
H-300-17311-885154,DETERMINATION ISSUED - CERTIFICATION,2017-11-17T00:00:00Z,"FOOTHILL PACKING, INC.","AZ ADDR: 12350 S. TANGELO AVE., YUMA, AZ 85365",SALINAS,CA,93905,"Yuma, AZ 85364",831-784-1453,Beekeeper,Bees,5,10.95
H-300-17246-067490,DETERMINATION ISSUED - CERTIFICATION,2017-11-14T00:00:00Z,Desert Valley Honey LLC,2618 W Darrel Rd,Phoenix,AZ,85041,"Laveen, AZ 85339",602-317-1228,Beekeeper,Bees,2,10.95
H-300-17300-500792,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-11-02T00:00:00Z,CENTRAL ARIZONA FARMING INCORPORATED,7332 EAST BUTHERUS DRIVE,SCOTTSDALE,AZ,85260,"Tonopah, AZ 85354",480-998-1444,Farmworker*SEE ATTACHMENT for full title,General Farm Workers,22,10.95
H-300-17332-785306,DETERMINATION ISSUED - CERTIFICATION,2017-11-28T00:00:00Z,Manterola Sheep Company Inc,"20625 W. Clayton Rd., Casa Grande AZ 85193",Casa Grande,AZ,85193,"Casa Grande, AZ 85193",520-836-8597,Range Livestock Worker,Open Range Livestock,2,1389.67
H-300-17296-131584,DETERMINATION ISSUED - CERTIFICATION,2017-11-28T00:00:00Z,"FONDOMONTE CALIFORNIA, LLC",250 N Litchfield Rd,Goodyear,AZ,85338,"Blythe, CA 92225",623-222-5148,Farm Machine Operator,Hay and Straw,18,12.57
H-300-17326-091827,DETERMINATION ISSUED - CERTIFICATION,2017-11-22T00:00:00Z,"Riverview, LLP",26406 470th Ave,Morris,MN,56267,"Willcox, AZ 85643",320-392-6720,Farm Labor,Agricultural Equipment Operators,9,10.95
H-300-17296-218806,DETERMINATION ISSUED - CERTIFICATION,2017-11-27T00:00:00Z,"Fondomonte Arizona, LLC",250 N Litchfield Rd,Goodyear,AZ,85338,"Salome, AZ 85348",623-222-5148,Farm Machine Operator,Hay and Straw,45,10.95
H-300-17325-096770,DETERMINATION ISSUED - CERTIFICATION,2017-11-21T00:00:00Z,Southwest Ag Farms LLC,P.O. Box 540,Sunray,TX,79096,"Willcox, AZ 85643",806-948-1325,Farm Labor,Corn,3,10.95
H-300-17353-966951,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-12-21T00:00:00Z,ELKHORN PACKING CO. LLC,"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901",Yuma,AZ,85365,"Roll, AZ 85347",831-676-3833,Field Workers,Lettuce,22,10.95
H-300-17341-246685,DETERMINATION ISSUED - CERTIFICATION,2017-12-21T00:00:00Z,"FOOTHILL PACKING, INC.","AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365",SALINAS,CA,93905,"Yuma, AZ 85364",831-784-1453,Field Worker (Dates),Trees,75,10.46
H-300-17301-080888,DETERMINATION ISSUED - CERTIFICATION,2017-12-06T00:00:00Z,Pam's Kitchen Services LLC,148 Coconino St,Wickenburg,AZ,85390,"Aguila, AZ 85320",928-302-8454,Cookers,Melons,8,10.95
H-300-17324-371627,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-11-21T00:00:00Z,CENTRAL ARIZONA FARMING INCORPORATED,7332 EAST BUTHERUS DRIVE,SCOTTSDALE,AZ,85260,"Tonopah, AZ 85354",480-998-1444,Farmworker*SEE ATTACHMENT for full title,Canteloupes,60,10.95
H-300-17326-683315,DETERMINATION ISSUED - CERTIFICATION,2017-11-22T00:00:00Z,Arizona Apiaries LLC,7914 N 175 Ave,Waddell,AZ,85355,"Litchfield Park, AZ 85340",623-695-7833,Beekeeper,Bees,12,12
H-300-18005-610347,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-01-05T00:00:00Z,"Ag Installers, Inc.",PO BOX 443,BOUSE,AZ,85325,"Bouse, AZ 85325",281-330-1541,Farm Worker and Laborers,Construction of Livestock Buildings,24,10.5
H-300-17348-996245,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2017-12-18T00:00:00Z,"AG INSTALLERS, INC.",PO BOX 443,Bouse,AZ,85325,"Bloomfield, NE 68718",281-330-1541,Farm Worker/Laborer,Construction of Livestock Buildings,60,13.79
H-300-18011-814719,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-01-18T00:00:00Z,"FRESH HARVEST, INC.","HEADQUARTERS: 101 E. Main Street, Heber, CA 92249",Somerton,AZ,85352,"Buckeye, AZ 85326",760-352-5212,Field Workers: Harvest/Field Labor Crops,Cabbage,30,10.5
H-300-17338-236962,DETERMINATION ISSUED - CERTIFICATION,2018-01-13T00:00:00Z,"Auza Ranches, LLC",843 West Cottonwood Lane,Casa Grande,AZ,85122,"Casa Grande, AZ 85122",520-426-9313,Farm Worker,Alfalfa,12,10.5
H-300-18011-407130,DETERMINATION ISSUED - CERTIFICATION,2018-01-12T00:00:00Z,"Demaray Harvesting & Trucking, LLC",2082 N. Curry Road,Casa Grande,AZ,85194,"Casa Grande, AZ 85194",925-215-1277,Agricultural Equipment Operator,Agricultural Equipment Operators,32,10.5
H-300-18017-604551,DETERMINATION ISSUED - CERTIFICATION,2018-01-17T00:00:00Z,"CY Ranchs, LLC","13825 N. 7th St., Suite M",Phoenix,AZ,85022,"Bancroft, ID 83217",602-993-0940,Farm/Irrigation/Livestock Worker,Wheat,2,11.63
H-300-18016-423724,DETERMINATION ISSUED - CERTIFICATION,2018-01-17T00:00:00Z,"TAYLOR'S HERB GARDEN OF ARIZONA, INC",23375 W Hwy 71,Congress,AZ,85232,"Congress, AZ 85232",928-427-3201,"Farmworkers & Laborers, Crop",Herbs,5,11
H-300-18011-866830,DETERMINATION ISSUED - CERTIFICATION,2018-01-11T00:00:00Z,"DV FARMS, LLC",843 West Cottonwood Lane,Casa Grande,AZ,85122,"Dateland, AZ 85333",520-316-7600,Farm worker,Grains,2,10.5
H-300-18030-535440,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-01-30T00:00:00Z,"The Growers Company,  Inc.",P.O. Box 3170,Somerton,AZ,85350,"Huron, CA 93234",928-627-8080,General Farmworkers,Iceberg Lettuce,100,13.18
H-300-18017-831188,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-01-17T00:00:00Z,"KENLY FARMS, INC",5333 N 7th Street,Phoenix,AZ,85014,"Maricopa, AZ 85139",602-955-0222,Nursery Workers,General Farm Workers,24,10.5
H-300-17361-021892,DETERMINATION ISSUED - CERTIFICATION,2017-12-27T00:00:00Z,Auza Ranches LLC,"843 West Cottonwood Lane, Casa Grande AZ 85122",Casa Grande,AZ,85230,"Casa Grande, AZ 85293",520-426-9313,Sheepherder,Open Range Livestock,8,1584.22
H-300-18012-490876,DETERMINATION ISSUED - WITHDRAWN,2018-01-12T00:00:00Z,"Moon Valley Farm Holdings, LLC","19820 N 7th Street, Suite 260",Phoenix,AZ,85024,"Fillmore, CA 93015",602-337-8678,"Farmworkers & Laborers, Crop",General Farm Workers,30,13.18
H-300-18012-528623,DETERMINATION ISSUED - WITHDRAWN,2018-01-12T00:00:00Z,"MOON VALLEY FARM HOLDINGS, LLC",19820 N 7th Street Suite 260,Phoenix,AZ,85024,"Coachella, CA 92236",602-337-8678,"Farmworkers & Laborers, Crop",General Farm Workers,10,13.18
H-300-18012-042777,DETERMINATION ISSUED - WITHDRAWN,2018-01-12T00:00:00Z,"Moon Valley Farm Holdings, LLC","19820 N 7th Street, Suite 260",Phoenix,AZ,85024,"Fallbrook, CA 92028",602-337-8678,"Farmworkers & Laborers, Crop",General Farm Workers,20,13.18
H-300-18045-286916,DETERMINATION ISSUED - CERTIFICATION,2018-02-14T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,1,1584.22
H-300-18045-286916,DETERMINATION ISSUED - CERTIFICATION,2018-02-14T00:00:00Z,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,CASA GRANDE,AZ,85122,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,1,1584.22
H-300-18012-910957,DETERMINATION ISSUED - WITHDRAWN,2018-01-12T00:00:00Z,"MOON VALLEY FARM HOLDINGS, LLC","19820 N 7th Street, Suite 260",Phoenix,AZ,85024,"Riverside, CA 92504",602-337-8678,"Farmworkers & Laborers, Crop",General Farm Workers,30,13.18
H-300-18031-671752,DETERMINATION ISSUED - CERTIFICATION,2018-02-07T00:00:00Z,Nnima Bee Co LLC,7623 N Perryville Rd,Waddell,AZ,85355,"El Mirage, AZ 85355",602-390-0801,Beekeeper,Bees,3,10.5
H-300-18046-292754,DETERMINATION ISSUED - CERTIFICATION,2018-02-15T00:00:00Z,"CRANE HARVESTING & TRUCKING, INC.",P.O. BOX 397,BUCKEYE,AZ,85326,"BUCKEYE, AZ 85326",623-386-1291,EQUIPMENT OPERATOR,Grains,16,10.5
H-300-18050-714118,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-02-26T00:00:00Z,"Ag Installers, Inc.",P.O. Box 443,Bouse,AZ,85325,"Bouse, AZ 85325",281-330-1541,Farm worker and Laborer,Construction of Livestock Buildings,24,10.5
